N,P,K,temperature,humidity,ph,rainfall,label
56.64,49.06,25.08,20.41,69.22,6.94,567.65,Wheat
47.69,36.14,25.63,24.57,58.2,6.37,367.16,Wheat
47.44,46.84,34.46,23.7,60.31,6.29,456.23,Wheat
58.63,39.66,22.29,21.54,60.12,6.28,331.56,Wheat
56.03,31.99,34.2,20.27,60.44,6.74,590.96,Wheat
43.93,49.57,33.11,23.09,51.53,6.98,558.86,Wheat
46.32,41.51,37.91,15.15,63.01,6.26,405.91,Wheat
58.7,39.85,20.93,15.84,66.16,6.98,343.19,Wheat
40.42,39.71,33.68,21.79,50.49,6.32,583.69,Wheat
50.68,38.62,35.11,21.97,65.93,6.87,380.64,Wheat
58.43,44.18,29.88,21.04,51.88,6.8,544.74,Wheat
48.68,32.97,22.18,21.2,57.08,6.43,558.1,Wheat
40.81,45.64,39.83,15.4,60.36,6.79,449.64,Wheat
57.8,33.11,37.54,16.15,56.24,6.16,476.54,Wheat
54.01,49.5,38.52,17.61,53.78,6.01,587.5,Wheat
46.75,35.78,37.63,16.64,53.82,6.01,354.25,Wheat
49.74,34.84,33.62,23.02,55.68,6.39,415.14,Wheat
41.21,38.53,39.09,15.48,51.06,6.83,573.17,Wheat
40.29,31.74,37.36,24.83,51.59,6.42,371.84,Wheat
40.4,45.84,33.76,17.03,61.91,6.8,589.01,Wheat
53.07,44.73,35.08,16.8,60.54,6.86,585.95,Wheat
41.57,35.55,31.9,23.81,67.5,6.63,556.06,Wheat
58.88,44.81,39.06,17.45,64.86,6.94,427.74,Wheat
32.92,27.95,17.16,20.44,58.44,6.31,306.93,Barley
46.81,37.49,16.07,19.97,56.42,6.71,289.98,Barley
35.08,27.77,29.19,19.76,62.66,6.75,451.73,Barley
31.18,31.93,32.97,20.66,48.59,6.17,345.47,Barley
32.8,28.32,32.44,18.85,62.6,6.0,289.36,Barley
32.74,29.69,29.77,20.74,59.0,6.34,379.47,Barley
35.0,37.33,19.48,20.24,50.42,6.9,472.25,Barley
42.12,32.98,21.86,17.92,48.05,6.92,333.52,Barley
32.51,39.91,22.26,17.89,53.94,6.91,263.59,Barley
33.12,27.31,15.4,20.96,64.28,6.89,491.02,Barley
39.06,34.07,17.09,16.32,47.69,6.04,463.59,Barley
38.45,28.24,18.88,18.56,64.16,6.85,295.67,Barley
31.52,29.69,15.92,19.76,46.85,6.77,459.71,Barley
35.45,35.31,24.33,21.19,47.51,6.29,431.08,Barley
43.75,25.96,32.29,15.58,57.79,6.72,297.7,Barley
38.88,21.03,15.52,15.71,48.11,6.73,440.77,Barley
41.59,35.4,28.2,15.08,48.53,6.99,422.65,Barley
30.3,31.12,27.65,20.16,57.44,6.85,375.09,Barley
44.08,23.37,15.48,21.14,48.42,6.58,288.29,Barley
44.98,26.53,30.16,15.87,62.4,6.78,492.12,Barley
34.55,22.84,16.34,20.69,47.52,6.52,494.19,Barley
38.92,30.3,31.8,21.11,45.07,6.27,305.59,Barley
46.63,35.77,33.72,16.44,56.51,6.83,310.07,Barley
45.37,39.29,31.12,16.22,52.69,6.96,476.34,Barley
38.31,38.55,24.27,21.76,63.77,6.4,437.04,Barley
38.44,20.52,15.44,15.4,64.5,6.03,483.29,Barley
48.91,28.64,22.17,16.78,56.0,6.1,332.74,Barley
47.61,34.3,25.21,16.53,50.68,6.64,366.74,Barley
40.04,30.48,32.16,19.29,58.87,6.82,281.31,Barley
31.46,23.43,28.76,16.94,47.84,6.2,439.31,Barley
47.39,36.28,33.71,20.6,55.68,6.34,479.53,Barley
33.01,25.27,27.5,17.01,60.93,6.54,344.08,Barley
30.58,29.33,17.52,15.65,64.13,6.31,449.03,Barley
39.8,39.57,29.24,18.83,57.37,6.37,367.57,Barley
33.5,23.37,16.3,20.68,54.21,6.3,304.56,Barley
43.44,30.45,19.16,15.57,56.77,6.64,417.92,Barley
33.39,21.0,17.37,19.81,56.34,6.67,282.54,Barley
33.28,32.09,18.16,15.87,54.01,6.96,297.43,Barley
47.65,20.47,18.05,16.9,64.38,6.83,429.73,Barley
46.1,23.93,16.58,18.17,60.3,6.66,450.27,Barley
46.78,30.74,30.35,20.47,50.04,6.66,302.65,Barley
36.98,30.93,34.75,20.99,58.46,6.02,477.73,Barley
34.26,35.32,17.46,20.98,64.29,6.94,392.9,Barley
48.44,38.2,23.85,21.05,55.27,6.4,313.63,Barley
41.03,38.23,31.41,19.48,47.0,6.93,262.26,Barley
30.5,35.22,23.03,19.06,47.09,6.27,492.15,Barley
35.66,35.85,34.75,21.14,47.06,6.45,333.15,Barley
48.53,25.66,28.49,18.07,53.04,6.54,471.99,Barley
35.08,31.35,16.79,21.99,58.0,6.91,390.27,Barley
32.03,21.23,16.39,21.95,60.99,6.55,457.26,Barley
42.5,21.95,27.23,20.48,53.06,6.3,325.57,Barley
38.48,24.9,25.44,16.61,63.28,6.52,367.53,Barley
49.04,35.38,29.94,20.76,55.12,6.75,344.24,Barley
41.72,26.13,23.82,19.48,48.33,6.45,447.49,Barley
42.88,24.73,20.35,16.54,63.3,6.43,412.88,Barley
47.93,38.31,31.0,15.66,51.78,6.44,444.79,Barley
44.87,33.33,15.08,16.71,45.71,6.02,439.17,Barley
37.8,22.86,21.8,21.33,51.66,6.68,328.58,Barley
47.11,27.58,16.45,18.24,49.83,6.76,411.46,Barley
49.07,38.27,27.13,17.66,49.25,6.94,333.12,Barley
49.52,25.01,25.81,19.3,46.15,6.65,418.57,Barley
36.57,29.13,20.23,16.69,60.97,6.02,303.96,Barley
45.15,30.48,16.13,17.95,48.5,6.77,263.45,Barley
30.77,32.9,22.62,20.29,50.28,6.56,490.61,Barley
38.84,37.28,34.18,19.27,61.27,6.88,365.47,Barley
33.25,20.79,30.34,17.82,55.82,6.48,371.88,Barley
40.88,30.05,34.86,15.24,45.35,6.57,406.37,Barley
46.8,22.32,18.55,21.78,55.48,6.44,312.82,Barley
32.77,20.56,31.48,17.6,55.0,6.97,369.61,Barley
44.33,22.11,27.77,18.08,46.03,6.39,476.26,Barley
45.97,35.27,32.63,20.23,55.89,6.8,379.94,Barley
33.78,23.83,25.63,19.56,47.63,6.53,298.24,Barley
45.06,38.25,26.05,18.2,59.76,6.16,423.13,Barley
36.83,26.05,34.61,19.17,56.02,6.86,256.26,Barley
38.2,26.74,15.18,15.14,57.72,6.93,470.32,Barley
42.18,26.14,22.75,18.3,61.8,6.47,265.5,Barley
33.07,28.05,25.68,19.02,52.78,6.03,403.16,Barley
43.47,21.69,30.64,21.85,61.77,6.2,374.18,Barley
30.97,32.43,15.45,18.87,64.44,6.9,289.86,Barley
41.67,27.27,16.69,16.56,60.82,6.16,415.25,Barley
42.78,20.67,15.94,21.74,49.04,6.74,462.56,Barley
33.91,31.36,30.89,16.68,45.78,6.13,331.36,Barley
42.89,34.22,27.35,17.12,53.91,6.12,299.53,Barley
35.11,21.03,28.43,16.46,50.27,6.21,466.19,Barley
47.21,28.86,23.06,21.15,63.58,6.71,304.78,Barley
35.83,25.22,28.95,16.76,58.2,6.2,349.61,Barley
39.63,35.98,28.85,20.2,47.8,6.89,481.01,Barley
39.05,24.86,22.22,18.2,52.33,6.77,406.42,Barley
30.62,35.87,19.82,18.97,45.8,6.97,472.1,Barley
30.75,29.73,17.15,20.94,57.53,6.67,446.13,Barley
46.56,32.33,29.19,15.06,47.8,6.23,405.49,Barley
44.98,36.56,33.22,21.21,64.87,6.5,296.02,Barley
47.01,21.97,33.89,15.66,60.28,6.16,417.52,Barley
37.18,38.79,19.36,19.85,49.46,6.54,405.76,Barley
47.66,24.35,23.77,18.18,53.07,6.55,379.42,Barley
36.69,31.3,27.43,16.66,64.4,6.53,313.85,Barley
46.6,31.88,27.19,17.07,60.26,6.99,260.58,Barley
44.82,34.8,17.98,21.95,60.0,6.89,252.13,Barley
38.73,28.79,16.65,18.62,51.46,6.81,439.5,Barley
38.52,35.6,29.85,15.59,57.98,6.12,339.77,Barley
59.36,21.32,22.91,28.0,41.3,6.48,631.03,Sorghum
40.3,32.25,29.45,25.5,50.93,6.98,442.55,Sorghum
35.81,30.88,30.08,25.64,41.62,6.48,452.31,Sorghum
54.18,36.0,32.61,28.06,41.95,6.14,567.64,Sorghum
34.97,30.36,38.72,25.43,59.02,6.17,575.42,Sorghum
50.77,27.29,33.57,32.69,50.34,6.34,675.04,Sorghum
58.48,22.9,34.06,28.06,47.84,6.71,513.03,Sorghum
59.87,49.12,21.14,31.58,44.3,6.01,635.67,Sorghum
54.17,44.85,20.54,33.89,59.12,6.83,693.66,Sorghum
53.06,39.65,20.57,30.35,44.76,6.29,407.28,Sorghum
46.35,36.63,39.44,27.26,58.74,6.42,535.55,Sorghum
39.52,33.89,29.72,30.63,54.54,6.18,666.85,Sorghum
46.02,41.23,23.32,34.72,46.65,6.27,606.56,Sorghum
46.7,44.43,35.83,29.61,41.08,6.35,548.46,Sorghum
32.23,21.49,22.66,30.68,52.24,6.79,496.65,Sorghum
33.79,30.1,32.88,29.43,55.24,6.24,427.71,Sorghum
50.63,41.33,22.85,30.23,58.05,6.29,414.05,Sorghum
41.21,29.08,35.49,29.12,41.65,6.84,672.41,Sorghum
50.65,45.74,39.19,28.62,52.85,6.81,589.28,Sorghum
55.9,26.35,32.5,27.39,44.56,6.68,501.11,Sorghum
41.81,23.79,25.19,34.85,43.21,6.79,555.12,Sorghum
41.58,31.32,30.95,31.01,46.71,6.84,497.99,Sorghum
47.99,44.39,29.39,29.77,59.62,6.98,502.96,Sorghum
34.49,39.11,28.38,28.44,44.7,6.21,626.99,Sorghum
58.75,39.86,23.64,31.29,55.81,6.47,639.21,Sorghum
32.75,48.12,27.42,29.52,44.58,6.84,446.45,Sorghum
30.25,39.58,21.0,27.05,58.18,6.57,470.76,Sorghum
37.01,32.89,35.56,25.69,55.37,6.6,465.09,Sorghum
30.05,45.34,37.46,29.65,49.08,6.5,671.27,Sorghum
36.09,30.05,36.72,31.09,40.32,6.56,567.44,Sorghum
39.85,30.7,21.13,27.18,57.97,6.89,552.3,Sorghum
54.62,35.83,32.54,30.51,47.13,6.9,460.41,Sorghum
35.07,41.14,33.4,34.01,50.5,6.02,438.77,Sorghum
53.3,44.16,25.31,31.56,58.46,6.86,516.8,Sorghum
57.67,20.29,28.09,29.0,58.72,6.82,589.12,Sorghum
58.81,44.36,33.45,28.36,42.95,6.4,595.24,Sorghum
50.23,36.3,35.84,33.49,54.83,6.55,485.46,Sorghum
58.17,42.61,39.1,26.48,45.45,6.2,579.86,Sorghum
54.28,35.42,20.65,32.8,47.79,6.9,609.39,Sorghum
41.95,39.1,37.28,32.2,40.96,6.66,618.31,Sorghum
31.84,20.5,35.84,25.73,55.52,6.11,437.91,Sorghum
51.42,21.07,25.78,28.73,57.36,6.21,517.3,Sorghum
31.68,29.04,37.22,32.99,53.16,6.18,626.91,Sorghum
33.71,48.34,24.98,25.78,49.75,6.18,646.15,Sorghum
54.24,20.75,35.02,29.9,40.74,6.48,504.16,Sorghum
50.11,27.86,31.59,27.6,52.67,6.27,436.07,Sorghum
54.11,21.61,21.44,26.64,51.0,6.47,537.8,Sorghum
58.1,34.53,39.67,32.17,53.71,6.02,687.37,Sorghum
56.85,43.0,26.61,30.29,58.7,6.04,585.81,Sorghum
48.61,27.57,28.9,30.73,47.11,6.64,444.44,Sorghum
42.59,38.01,23.85,26.02,57.33,6.48,430.72,Sorghum
54.43,40.41,22.5,34.83,41.41,6.99,474.2,Sorghum
45.52,43.05,39.66,32.96,58.88,6.01,625.66,Sorghum
51.95,29.71,38.7,26.66,41.27,6.88,474.34,Sorghum
30.79,23.7,33.64,26.94,43.43,6.7,454.82,Sorghum
39.76,20.67,38.68,30.61,40.72,6.85,578.21,Sorghum
37.03,32.67,30.85,33.91,46.89,6.29,658.38,Sorghum
50.56,44.41,25.84,32.17,42.03,6.29,655.93,Sorghum
47.06,42.7,28.0,29.64,58.88,6.4,547.16,Sorghum
30.36,46.2,32.59,25.2,56.75,6.53,640.24,Sorghum
35.96,27.27,22.5,32.91,46.39,6.98,599.74,Sorghum
38.34,41.86,22.52,28.85,44.12,6.18,494.37,Sorghum
48.43,22.02,28.8,28.08,57.38,6.64,610.41,Sorghum
40.52,40.35,38.58,30.4,53.76,6.91,521.37,Sorghum
37.83,46.27,38.57,34.21,51.12,6.2,676.23,Sorghum
43.6,30.53,20.2,33.22,59.51,6.96,491.47,Sorghum
52.68,25.79,25.6,28.34,52.08,6.47,557.19,Sorghum
38.88,48.99,23.89,27.63,48.05,6.76,531.57,Sorghum
51.45,38.67,27.73,29.75,54.47,6.89,652.18,Sorghum
57.57,22.03,21.77,34.95,42.31,6.72,501.08,Sorghum
45.44,20.67,38.4,29.26,49.77,6.78,650.86,Sorghum
35.09,45.37,26.16,33.44,49.87,6.2,454.44,Sorghum
35.75,43.92,36.1,29.24,49.97,6.33,540.42,Sorghum
52.83,33.15,24.8,29.85,50.13,6.13,674.78,Sorghum
31.5,21.07,34.62,33.67,55.8,6.91,663.04,Sorghum
40.65,40.08,22.43,27.35,48.88,6.7,594.41,Sorghum
49.42,24.13,37.27,27.15,59.5,6.08,600.29,Sorghum
57.76,32.45,28.66,28.88,55.12,6.03,417.76,Sorghum
35.26,48.05,37.83,32.69,54.35,6.7,651.01,Sorghum
52.24,36.58,39.44,29.64,52.89,6.06,623.48,Sorghum
37.88,38.4,22.67,34.95,42.92,6.5,402.66,Sorghum
58.01,31.34,32.21,33.4,50.38,6.29,609.26,Sorghum
34.22,23.87,28.13,30.35,42.62,6.64,677.72,Sorghum
45.37,23.02,28.31,31.75,41.49,6.49,470.83,Sorghum
31.83,45.02,27.68,31.91,46.41,6.95,471.9,Sorghum
35.09,38.2,24.31,25.01,59.1,6.98,418.22,Sorghum
58.23,22.06,23.35,34.27,41.02,6.74,436.76,Sorghum
58.63,39.88,35.03,25.04,53.19,6.63,452.55,Sorghum
36.93,33.03,28.61,32.47,58.61,6.24,534.17,Sorghum
49.05,33.61,27.48,29.65,59.77,6.39,583.46,Sorghum
59.98,46.66,26.92,25.58,44.52,6.69,654.12,Sorghum
41.48,44.24,38.85,25.1,42.68,7.0,691.92,Sorghum
37.51,37.11,25.36,27.3,56.91,6.26,453.87,Sorghum
32.93,38.32,22.63,29.8,45.82,6.54,527.42,Sorghum
54.41,35.37,22.24,33.96,42.0,6.26,523.78,Sorghum
43.05,43.56,27.68,25.74,45.41,6.38,613.19,Sorghum
57.06,48.35,35.17,33.67,47.11,6.82,493.01,Sorghum
34.63,42.16,34.03,26.43,54.81,6.19,624.47,Sorghum
44.17,30.01,39.65,28.01,47.68,6.91,674.21,Sorghum
54.4,48.69,37.08,30.88,52.51,6.4,690.56,Sorghum
46.27,17.0,17.09,31.12,35.93,6.56,382.48,Millets
33.71,33.28,15.05,30.43,49.39,6.06,572.3,Millets
47.73,19.57,30.02,25.89,52.14,6.54,464.35,Millets
21.66,25.26,20.29,26.88,40.72,6.11,332.44,Millets
24.9,38.59,28.88,34.51,44.5,6.08,599.14,Millets
20.67,34.86,15.6,31.69,52.96,6.34,504.85,Millets
37.01,20.82,29.93,25.25,37.07,6.73,365.33,Millets
39.26,35.66,15.54,30.67,38.94,6.79,558.13,Millets
31.04,34.34,27.59,26.59,43.81,6.89,350.36,Millets
24.84,18.09,23.57,26.27,37.68,6.46,568.81,Millets
28.94,31.2,20.13,34.26,58.0,6.59,388.44,Millets
27.96,31.22,29.77,34.72,53.05,6.86,492.66,Millets
33.34,26.55,38.85,31.79,36.64,6.65,530.32,Millets
46.94,27.15,26.17,29.99,36.3,6.65,413.48,Millets
21.77,25.25,24.2,26.82,51.09,6.46,424.85,Millets
32.5,15.07,37.45,27.26,49.17,6.04,399.3,Millets
25.99,22.86,22.74,25.33,53.16,6.18,577.79,Millets
45.87,25.58,33.46,25.09,56.25,6.98,523.55,Millets
42.49,37.23,36.95,31.06,52.93,6.09,577.79,Millets
41.07,21.76,30.4,28.2,47.17,6.55,423.23,Millets
33.53,39.84,21.62,26.13,36.08,6.7,433.26,Millets
39.27,34.78,22.96,26.96,37.89,6.16,510.9,Millets
48.72,38.61,28.0,32.28,58.52,6.52,542.12,Millets
38.04,35.1,30.48,29.61,57.71,6.56,476.47,Millets
46.54,24.17,24.98,30.68,37.99,6.98,508.54,Millets
27.23,16.92,28.89,28.73,45.39,6.75,426.11,Millets
29.69,21.05,37.02,25.11,41.12,6.83,348.7,Millets
44.44,25.51,27.37,33.68,40.1,6.44,302.82,Millets
20.31,23.95,15.65,25.99,53.13,6.2,380.56,Millets
47.61,19.29,27.96,25.07,45.97,6.25,590.71,Millets
42.75,19.48,29.16,28.65,43.14,6.19,517.5,Millets
23.34,16.17,25.83,26.4,50.72,6.13,344.12,Millets
44.19,33.53,22.66,29.24,40.17,6.36,552.23,Millets
30.8,35.35,36.5,34.01,42.13,6.3,487.98,Millets
43.07,39.04,18.81,34.36,38.64,6.98,568.17,Millets
31.01,20.9,38.54,27.85,49.94,6.23,326.48,Millets
40.96,34.58,21.42,29.33,52.21,6.63,331.58,Millets
29.18,27.68,17.28,31.19,45.16,6.56,442.36,Millets
42.62,39.29,32.26,32.66,41.21,6.91,319.61,Millets
37.45,31.53,23.21,33.01,37.21,6.5,550.27,Millets
46.38,28.79,36.32,31.04,39.96,6.71,482.46,Millets
39.49,21.74,15.37,28.02,42.84,6.51,408.89,Millets
26.99,18.61,26.71,27.38,40.21,6.92,379.6,Millets
43.97,37.2,34.2,28.24,57.82,6.66,509.49,Millets
30.0,33.02,31.6,29.99,50.94,6.57,568.27,Millets
43.71,24.23,23.51,30.73,42.65,6.6,377.35,Millets
21.04,32.79,32.66,26.88,54.49,6.14,484.42,Millets
35.97,31.79,30.28,27.53,45.4,6.33,358.31,Millets
48.71,38.28,15.06,34.79,50.83,6.6,382.63,Millets
49.27,32.21,20.92,26.6,36.12,6.13,439.75,Millets
47.84,16.73,29.06,27.94,50.79,6.82,482.52,Millets
35.55,33.37,39.17,31.77,47.68,6.37,322.3,Millets
47.02,17.24,22.41,25.48,38.79,6.44,497.32,Millets
32.54,20.28,29.54,30.36,50.68,6.35,316.81,Millets
49.81,28.72,28.5,26.42,59.96,6.09,560.8,Millets
32.03,38.58,20.86,34.0,39.84,6.3,550.27,Millets
46.6,39.92,37.91,25.65,51.42,6.75,523.2,Millets
49.64,39.14,35.34,30.63,41.65,6.88,350.05,Millets
24.8,34.87,27.21,25.47,43.99,6.76,304.82,Millets
31.19,27.17,33.04,31.49,59.85,6.21,447.19,Millets
40.98,20.02,24.45,26.23,47.61,6.02,400.06,Millets
29.53,30.0,39.29,25.11,53.7,6.53,317.44,Millets
21.04,21.28,38.34,29.76,52.58,6.24,471.71,Millets
35.76,20.74,22.49,28.74,41.1,7.0,472.91,Millets
41.28,28.01,21.92,27.47,47.34,6.91,494.1,Millets
34.2,22.22,23.99,33.28,38.83,6.33,542.06,Millets
44.94,15.2,37.42,32.73,59.15,6.87,360.43,Millets
33.66,16.75,32.02,29.96,45.54,6.14,451.82,Millets
48.45,34.78,30.23,26.04,56.03,6.33,405.68,Millets
48.61,38.34,23.36,34.87,51.61,6.5,408.26,Millets
39.06,21.46,18.12,30.06,36.79,6.46,418.6,Millets
26.97,23.13,23.68,26.18,50.97,6.63,517.63,Millets
28.78,19.02,25.28,30.91,35.02,6.21,438.77,Millets
43.76,18.96,27.57,26.77,45.59,6.46,415.77,Millets
41.45,32.26,39.75,25.65,37.22,6.75,457.23,Millets
38.27,33.03,38.96,31.23,39.91,6.11,565.0,Millets
29.96,20.37,26.02,31.98,45.12,6.72,514.96,Millets
49.35,20.57,32.49,33.32,52.94,6.92,406.25,Millets
35.19,38.97,37.96,33.45,48.8,6.13,517.38,Millets
28.81,16.49,35.32,29.51,59.64,6.39,340.03,Millets
28.71,18.62,30.0,29.07,53.23,6.59,585.24,Millets
40.81,30.02,28.27,26.42,50.73,6.03,555.62,Millets
26.33,39.84,30.17,26.19,59.51,6.74,361.03,Millets
44.09,27.85,38.72,25.58,41.15,6.31,440.49,Millets
45.77,33.18,32.54,28.1,51.52,6.63,353.84,Millets
32.15,25.26,32.13,28.1,46.08,6.57,592.25,Millets
22.58,22.77,18.91,28.81,38.86,6.51,355.48,Millets
34.29,23.03,32.1,33.64,57.73,6.89,591.53,Millets
30.03,24.64,32.35,32.35,57.81,6.03,306.64,Millets
39.73,30.35,17.62,30.51,45.28,6.67,500.85,Millets
25.55,16.8,38.09,28.66,43.23,6.91,424.21,Millets
42.88,20.22,32.49,30.35,40.51,6.77,393.85,Millets
34.94,27.38,32.91,25.0,52.96,6.16,529.82,Millets
47.08,17.59,25.0,33.79,46.24,6.78,372.08,Millets
36.45,37.07,32.89,28.12,54.29,6.12,425.62,Millets
46.36,31.16,22.69,34.21,38.48,6.33,501.29,Millets
30.83,21.96,33.39,27.38,42.73,6.68,430.35,Millets
24.11,18.17,17.4,30.32,47.91,6.74,527.33,Millets
42.05,20.16,34.32,26.67,54.99,6.61,571.08,Millets
20.54,20.92,17.7,31.35,50.52,6.44,319.53,Millets
58.11,28.7,24.36,23.73,66.14,6.05,978.27,Soybean
33.52,36.31,39.99,28.92,67.99,6.37,995.56,Soybean
42.22,34.23,35.77,28.59,60.05,6.19,788.16,Soybean
45.53,35.49,29.83,22.46,65.3,6.7,649.47,Soybean
47.73,25.5,27.65,28.09,64.19,6.59,950.22,Soybean
51.55,20.23,32.71,20.42,69.59,6.23,627.03,Soybean
34.91,28.7,39.76,26.01,74.92,6.86,669.29,Soybean
38.57,32.75,39.83,24.61,60.42,6.96,701.08,Soybean
36.04,46.16,34.54,21.89,67.14,6.42,913.36,Soybean
35.05,32.26,24.05,29.94,74.58,6.82,866.8,Soybean
41.4,33.21,22.3,24.86,69.2,6.24,656.36,Soybean
48.04,45.9,22.06,21.63,71.95,6.56,652.87,Soybean
43.61,44.36,22.29,23.25,66.93,6.79,666.36,Soybean
49.46,36.23,24.64,23.58,65.25,6.49,666.42,Soybean
46.58,36.97,36.15,23.45,68.55,6.68,853.39,Soybean
31.47,20.97,27.54,28.82,79.21,6.11,656.05,Soybean
41.26,29.74,26.37,21.72,61.66,6.87,800.01,Soybean
41.38,46.6,32.19,25.26,71.71,6.59,720.84,Soybean
32.72,37.84,23.11,29.21,73.08,6.31,738.75,Soybean
49.09,27.94,31.52,23.05,66.72,6.11,822.72,Soybean
44.47,36.83,36.0,25.79,77.22,7.0,928.97,Soybean
55.17,46.53,35.75,29.23,62.24,6.64,696.55,Soybean
48.81,24.16,24.96,20.84,78.9,6.95,653.03,Soybean
59.89,28.99,27.93,26.48,68.05,6.31,903.1,Soybean
51.67,37.75,36.98,22.74,70.38,6.66,645.23,Soybean
